职位,薪资,工作时间,公司,工作地点,所在城市
算法工程师,20k-35k,1-3年,携程计算机技术（上海）有限公司,金钟路968号凌空SOHO携程旅行网(新总部),上海
算法工程师,35k-65k,5-10年,携程计算机技术（上海）有限公司,金钟路968号凌空SOHO携程旅行网(新总部),上海
算法工程师,20k-30k,不限,北京大数据先进技术研究院,北京市海淀区玉泉慧谷科技园6号楼,北京
算法工程师,20k-30k,3-5年,华风爱科气象科技（北京）有限公司,气象影视大楼,北京
算法工程师,20k-35k,5-10年,北京汇易达数字科技有限公司,安科大厦B栋201室,南京
数据挖掘,19k-30k,3-5年,成都书声科技有限公司,皇庭国际中心A座35-41层,成都
算法工程师,30k-60k,5-10年,合创汽车科技有限公司,香江国际科创中心1栋12楼,广州
数据挖掘工程师,18k-35k,3-5年,杭州观远数据有限公司,海创园,杭州
算法工程师,20k-40k,3-5年,杭州观远数据有限公司,海创园,杭州
算法工程师,25k-49k,1-3年,兴业数字金融服务（上海）股份有限公司,青洲路1号新世纪大厦,福州
算法工程师,25k-49k,1-3年,兴业数字金融服务（上海）股份有限公司,杨高南路729号41楼,上海
算法工程师,25k-45k,不限,携程计算机技术（上海）有限公司,天辰东路7号国家会议中心,北京
算法工程师,20k-40k,不限,成都东方盛行电子有限责任公司,天华二路219号天府软件园C10-9,成都
算法工程师,16k-32k,1-3年,北京中科智加科技有限公司,学院路51号首享科技大厦10层,北京
算法工程师,40k-70k,3-5年,杭州鸿宇人工智能技术有限公司,海威天地T3-2508-2509,杭州
算法工程师/专家-杭州，P6,20k-40k,3-5年,成都新大瀚人力资源管理有限公司,-,杭州
图像算法工程师（初级）,8k-15k,1-3年,杭州大名软件有限公司,华星时代广场,杭州
计算机视觉及多模态算法工程师-电商,40k-80k,3-5年,抖音视界（北京）有限公司,中国大陆北京北京市海淀区丹棱街1号互联网金融中心，邮编：100080,北京
算法工程师-抓取方向,20k-40k,不限,抖音视界（北京）有限公司,中国大陆北京北京市海淀区北三环西路43号中航广场1号楼（矮楼），邮编：100089,北京
强化学习算法工程师-游戏AI,20k-40k,1-3年,抖音视界（北京）有限公司,中国大陆广东深圳市南山区蛇口街道太子路51号太子广场12层，邮编：518000,深圳
SLAM算法工程师 — 移动端AR方向,20k-40k,3-5年,抖音视界（北京）有限公司,南海大道2163号来福士广场16层,深圳
增长策略算法工程师,30k-60k,在校/应届,抖音视界（北京）有限公司,中关村大街11号E世界财富中心A座12F,北京
搜索问答推荐算法工程师,25k-50k,不限,抖音视界（北京）有限公司,中国大陆广东深圳市南山区深圳湾创新科技中心2栋B座6层，邮编：518000,深圳
物流算法工程师-电商,30k-60k,3-5年,抖音视界（北京）有限公司,中国大陆上海上海市杨浦区江湾城路99号尚浦商务中心8号楼，邮编：200438,上海
风控算法工程师-生活服务,30k-60k,3-5年,抖音视界（北京）有限公司,中国大陆北京北京市海淀区中关村南四街18号紫金数码园四号楼，邮编：100190,北京
计算机视觉算法工程师-研发效能,25k-50k,不限,抖音视界（北京）有限公司,南海大道2163号来福士广场15层,深圳
深度学习算法工程师-机器人方向,20k-40k,不限,抖音视界（北京）有限公司,海淀北二街10号泰鹏大厦10层,北京
算法工程师 — 风控方向,20k-40k,不限,抖音视界（北京）有限公司,水城北路欧美金融城（EFC）T5/8层,杭州
Camera算法研发高级工程师 — 抖音,25k-50k,3-5年,抖音视界（北京）有限公司,南海大道2163号来福士广场17层,深圳
