职位,薪资,工作时间,公司,工作地点,所在城市
python量化工程师,20k-25k,3-5年,北京同道大象科技有限公司,万达广场10,北京
python后端开发工程师,20k-40k,5-10年,北京寄云鼎城科技有限公司,亦庄,北京
后端开发工程师-Node.js/Python,20k-40k,3-5年,北京快乐开工科技有限公司,三里屯SOHO,北京
python数据分析师,10k-16k,1-3年,上海微创软件股份有限公司,百度国际,深圳
python数据开发工程师,15k-23k,5-10年,沃尔玛（中国）投资有限公司,农林路69号深国投广场三号楼1-12楼及2号楼2-5楼,深圳
python后端开发工程师,13k-18k,1-3年,上海智臻智能网络科技股份有限公司,金沙江西路1555弄383号1楼,上海
互研-Python后端开发工程师,18k-35k,1-3年,富途网络科技（深圳）有限公司,科兴科学园D栋1单元25层,深圳
运维开发工程师（python/go）,15k-30k,3-5年,富途网络科技（深圳）有限公司,科兴科学园D栋1单元25层,深圳
python中级开发工程师,13k-20k,3-5年,远江盛邦（北京）网络安全科技股份有限公司,东方希望天祥广场A座4405,成都
python 开发工程师,15k-25k,3-5年,中国人寿财产保险股份有限公司,银城路88号中国人寿金融中心,上海
深圳python开发工程师,15k-30k,3-5年,达而观信息科技（上海）有限公司,新楠六路航盛大厦4楼D达观数据,深圳
Python开发工程师（FUNC 平台）,13k-18k,不限,上海观测未来信息技术有限公司,上海市浦东新区科苑路399号张江创新园7号楼,上海
Python后端开发,13k-20k,1-3年,上海观测未来信息技术有限公司,上海市浦东新区科苑路399号张江创新园7号楼,上海
Python&nbsp;后端开发工程师 (MJ000300),12k-20k,1-3年,翼健（上海）信息科技有限公司,安化路492号德必易园,上海
python实习生,3k-5k,不限,畅捷通信息技术股份有限公司,北清路68号(赵庄子北)用友软件园东区19C,北京
高级python开发工程师,16k-30k,5-10年,北京万里开源软件有限公司,东三环中路39号建外SOHO,北京
python后端开发工程师,10k-15k,1-3年,远江盛邦（北京）网络安全科技股份有限公司,锦业一路宝德云谷大厦,西安
Python课程运营专员(F7845),4k-7k,不限,风变科技（深圳）有限公司,博雅城市广场,成都
资深python软件工程师,30k-50k,5-10年,诺竹科技（上海）有限公司,纳贤路800科海大楼1号楼A座4楼401-14室,上海
python开发（外派道富）,8k-15k,不限,浙江网新恒天软件有限公司,天堂软件园,杭州
python开发工程师（智能交互）,15k-25k,1-3年,上海乐言科技股份有限公司,长宁路1033号联通大厦19楼,上海
python工程师（创新）,15k-30k,1-3年,上海乐言科技股份有限公司,长宁路1033号联通大厦19楼,上海
资深Python开发工程师 (MJ000084),30k-40k,5-10年,翼健（上海）信息科技有限公司,中山公园,上海
高级Python开发工程师 (MJ000017),20k-35k,5-10年,翼健（上海）信息科技有限公司,中山公园,上海
高级Python开发工程师 (MJ000005),15k-25k,3-5年,翼健（上海）信息科技有限公司,中山公园,上海
软件工程师 (Python),16k-32k,1-3年,深圳快造科技有限公司,平山一路大园工业区鸿莱科创楼13号楼5楼,深圳
Python 开发工程师,16k-32k,1-3年,深圳快造科技有限公司,平山一路大园工业区鸿莱科创楼13号楼5楼,深圳
python爬虫工程师,12k-16k,3-5年,深圳市立创电子商务有限公司,中康路136号深圳新一代信息产业园1栋8层,深圳
Python高级开发工程师,25k-50k,5-10年,北京墨云科技有限公司,中关村发展大厦C401,北京
python研发经理,25k-50k,3-5年,北京墨云科技有限公司,中关村发展大厦c座301,北京
python（web）,15k-25k,3-5年,深圳众禄基金销售股份有限公司,梨园路HALO广场4楼10-13室,深圳
Python开发工程师(风控开发方向),20k-40k,1-3年,北京陌陌科技有限公司,望京阜通东大街1号望京soho，塔2，B座20层,北京
Python高级/中级研发工程师(安全方向),25k-40k,3-5年,北京陌陌科技有限公司,阜通东大街1号望京Soho,北京
高级Python爬虫工程师（Insight）,15k-25k,不限,观澜网络（杭州）有限公司,江虹路611号上峰电商产业园3号楼3楼,杭州
java/web前端/c++/python/GO/大数据/测试/运维等,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,西安
Java/C/C++/Python/JS/测试/运维,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,成都
通用研发c/c++/java/js/python/php/go,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,东莞
Java/python/C++/C,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
java/python/c/go开发工程师,14k-20k,不限,北京外企德科人力资源服务上海有限公司,华为,南京
后端c/cc++/java/python/go+前端+产品+测试,15k-30k,不限,北京外企德科人力资源服务上海有限公司,西安华为,西安
Java/C/C++/Python/JS/测试/运维,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为,南京
JAVA/C++/C/Python/JS/HTML/GO开发工程师,11k-22k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
java/web前端/c++/python/测试/c++/大数据开发/GO,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为,杭州
软件工程师（C++/ Python 机器人智能 校招/社招）,18k-35k,不限,北京迁移科技有限公司,建材城中路27号 金隅智造工场 N5楼 3层3110室,北京
python开发,4k-6k,在校/应届,景生星月信息科技（北京）有限公司,招商局大厦,北京
后端开发工程师（java/c/c++/python等）,18k-35k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,上海
c++/java/python/go开发工程师,15k-30k,3-5年,北京外企德科人力资源服务上海有限公司,华为研究所,成都
java/web前端/c++/python/go/测试/大数据/运维等,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为基地,深圳
python数据分析,12k-20k,3-5年,深圳市易佰网络科技有限公司武汉分公司,校友创新中心,武汉
Python、C、C++开发，试用期不打折,15k-30k,不限,北京外企德科人力资源服务上海有限公司,新金桥路2222号,上海
python开发工程师,15k-30k,3-5年,深圳市长亮科技股份有限公司,沙河西路深圳湾科技生态园一区2栋A座5楼,深圳
java/web前端/c++/python/测试/大数据/嵌入式等岗位,15k-30k,不限,北京外企德科人力资源服务上海有限公司,松山湖华为,东莞
c/c++/python/java/go,15k-28k,不限,北京外企德科人力资源服务上海有限公司,锦业路127号,西安
【C++、Java、Web、Python、Go、 算法】软件开发,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为坂田,深圳
通用软件开发工程师（java python c++ c go等）,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,成都
Java /C/C++/C#/ Python / GO / JS,16k-32k,不限,北京外企德科人力资源服务上海有限公司,坂田华为基地,深圳
Java/C/C++/Python/JS/Web开发,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为,西安
C/C++/Java/python/go开发工程师,17k-34k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
华为od | 软件开发工程师（java、c/c++、python）,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为南京研究所,南京
java/python/c++/c#/测试工程师,12k-24k,不限,北京外企德科人力资源服务上海有限公司,上海市浦东新区新金桥路2222号,上海
Java/C/C++/Python/Go/JS开发工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,锦业路127号,西安
java/c/c++/python/go/js开发工程师,18k-35k,不限,北京外企德科人力资源服务上海有限公司,软件大道101,南京
java/python/c/c++/js/go /测试/前端,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为基地,深圳
c++/java/python/go开发工程师,15k-30k,3-5年,北京外企德科人力资源服务上海有限公司,华为研究所,西安
java/python/c/c++/go/web前端（西安 成都 深圳）,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,西安
JAVA/Python/C/C++/JS/Go/前端/测试,14k-28k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,成都
Java/C/C++/Python/Go/Web/测试——成都,15k-25k,不限,北京外企德科人力资源服务上海有限公司,华为研究,成都
Java/C/C++/Python/Go/Web/测试——上海,20k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,上海
java/c/c++/python/go/js/web/测试/软件开发/双休,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
C／C++/JAVA/python/go/web/测试,18k-30k,1-3年,北京外企德科人力资源服务上海有限公司,华为研究所,成都
JAVA/Python/C/C++/JS/Go /测试/前端,14k-28k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
研发【Java/Python/C/C++/Go/Js/Scala】,20k-40k,1-3年,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
研发【Java/Python/C/C++/Go/Js/Scala】,20k-40k,3-5年,北京外企德科人力资源服务上海有限公司,广电科技大厦,广州
JAVA/C++/C/Python/JS/HTML/GO开发工程师,11k-22k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,成都
软件开发（C/C++/python/go）,15k-30k,1-3年,北京外企德科人力资源服务上海有限公司,金桥经济技术开发区新金桥路2222号上海华为技术有限公司(新金桥路),上海
C/ C ++/ Java/Python/GO/Web/运维/测试,15k-30k,不限,北京外企德科人力资源服务上海有限公司,南京研究所,南京
软件开发工程师（Java、python、c、js）等,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
c/ c ++/ java/python/go/web/运维/测试,16k-30k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,深圳
